posting_text,label,has_whatsapp_apply,has_registration_fee,has_company_email,has_duration_mentioned,has_no_interview,has_earn_daily,text_length
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,0,0,0,0,1,103
Urgent hiring for interns. Guaranteed income of ₹2000/day. Limited seats. Instant selection after payment.,0,1,1,0,1,0,0,106
"Mobile App Development Internship at TCS in Bengaluru. Mode: Hybrid. Duration 4 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
Urgent hiring for interns. Guaranteed income of ₹500/day. Limited seats. Instant selection after payment.,0,0,1,0,0,1,1,105
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,0,1,0,0,0,0,101
"QA Testing Internship at Paytm in Bengaluru. Mode: Remote. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,233
Work from home internship. Earn ₹1500 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,0,0,104
"Frontend Development Internship at Razorpay in Bengaluru. Mode: Remote. Duration 3 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,246
"Backend Development Internship at HCLTech in Gurugram. Mode: On-site. Duration 3 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
"Software Development Internship at Google India in Bengaluru. Mode: On-site. Duration 2 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,250
Work from home internship. Earn ₹5000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,0,1,0,1,0,0,104
"Cybersecurity Internship at Nykaa in Delhi. Mode: Remote. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,232
"Backend Development Internship at Paytm in Delhi. Mode: Remote. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,238
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,0,1,0,1,0,1,101
"Software Development Internship at Infosys in Delhi. Mode: Hybrid. Duration 3 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"QA Testing Internship at Zoho in Hyderabad. Mode: On-site. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,233
"Cloud Computing Internship at Google India in Hyderabad. Mode: Remote. Duration 2 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
"DevOps Internship at HCLTech in Chennai. Mode: On-site. Duration 3 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,230
"Mobile App Development Internship at Wipro in Bengaluru. Mode: Remote. Duration 4 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,245
Urgent hiring for interns. Guaranteed income of ₹1000/day. Limited seats. Instant selection after payment.,0,1,1,0,0,0,1,106
"Backend Development Internship at Deloitte India in Gurugram. Mode: Remote. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,249
"Digital Marketing Internship at Microsoft India in Chennai. Mode: Hybrid. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,248
"Business Analytics Internship at Paytm in Bengaluru. Mode: Hybrid. Duration 3 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"Cloud Computing Internship at Deloitte India in Gurugram. Mode: Remote. Duration 4 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,246
"Cloud Computing Internship at CRED in Hyderabad. Mode: On-site. Duration 6 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,0,1,1,101
"Cloud Computing Internship at Google India in Gurugram. Mode: Hybrid. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
"Cloud Computing Internship at Wipro in Bengaluru. Mode: On-site. Duration 3 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"Software Development Internship at Nykaa in Pune. Mode: On-site. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
"Software Development Internship at Tech Mahindra in Chennai. Mode: On-site. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,250
"Cybersecurity Internship at Flipkart in Chennai. Mode: Hybrid. Duration 6 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,237
"Cloud Computing Internship at Infosys in Delhi. Mode: Hybrid. Duration 4 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,235
"Embedded Systems Internship at Zoho in Gurugram. Mode: Hybrid. Duration 3 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
Work from home internship. Earn ₹3000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,1,0,104
Work from home internship. Earn ₹500 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,1,1,1,103
Urgent hiring for interns. Guaranteed income of ₹2000/day. Limited seats. Instant selection after payment.,0,0,0,0,1,1,1,106
"Frontend Development Internship at Naukri in Hyderabad. Mode: On-site. Duration 4 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,245
"UI/UX Design Internship at TCS in Hyderabad. Mode: Hybrid. Duration 6 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,232
"Machine Learning Internship at L&T in Pune. Mode: Remote. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,231
Urgent hiring for interns. Guaranteed income of ₹5000/day. Limited seats. Instant selection after payment.,0,1,1,0,1,0,1,106
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,0,1,0,103
"Full Stack Development Internship at Myntra in Mumbai. Mode: On-site. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
Work from home internship. Earn ₹2000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,0,1,1,104
"DevOps Internship at Deloitte India in Hyderabad. Mode: Remote. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,237
"Software Development Internship at Amazon India in Chennai. Mode: Hybrid. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,248
"UI/UX Design Internship at Zoho in Pune. Mode: On-site. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,230
"Cloud Computing Internship at Deloitte India in Chennai. Mode: On-site. Duration 3 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,246
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,1,1,0,103
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,0,1,0,1,0,0,103
"Business Analytics Internship at Razorpay in Delhi. Mode: Hybrid. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"Backend Development Internship at Wipro in Mumbai. Mode: On-site. Duration 2 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,240
"Machine Learning Internship at Deloitte India in Chennai. Mode: On-site. Duration 3 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,246
"DevOps Internship at HCLTech in Delhi. Mode: On-site. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,228
"Embedded Systems Internship at CRED in Noida. Mode: Hybrid. Duration 4 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,234
Work from home internship. Earn ₹2000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,0,0,1,1,0,104
"Data Science Internship at Tech Mahindra in Hyderabad. Mode: Hybrid. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,243
"Data Science Internship at Amazon India in Mumbai. Mode: Hybrid. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
"Software Development Internship at Myntra in Delhi. Mode: On-site. Duration 3 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"UI/UX Design Internship at Google India in Delhi. Mode: On-site. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"Business Analytics Internship at Google India in Chennai. Mode: On-site. Duration 6 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,247
"Backend Development Internship at L&T in Gurugram. Mode: Hybrid. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,239
Urgent hiring for interns. Guaranteed income of ₹3000/day. Limited seats. Instant selection after payment.,0,1,1,0,1,0,0,106
"Full Stack Development Internship at Google India in Gurugram. Mode: Remote. Duration 4 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,251
Work from home internship. Earn ₹3000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,0,0,1,104
"UI/UX Design Internship at Flipkart in Pune. Mode: On-site. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,234
"Cybersecurity Internship at Tech Mahindra in Noida. Mode: On-site. Duration 3 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,241
"Full Stack Development Internship at Myntra in Mumbai. Mode: Hybrid. Duration 6 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,0,1,0,1,1,0,103
"Data Science Internship at Infosys in Pune. Mode: Hybrid. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,232
"Full Stack Development Internship at Zoho in Mumbai. Mode: Remote. Duration 2 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"Mobile App Development Internship at Myntra in Bengaluru. Mode: Hybrid. Duration 6 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,245
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,0,1,0,0,0,1,103
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,1,1,1,101
Urgent hiring for interns. Guaranteed income of ₹3000/day. Limited seats. Instant selection after payment.,0,0,1,0,0,1,1,106
"Software Development Internship at Naukri in Hyderabad. Mode: Remote. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
"Full Stack Development Internship at Naukri in Mumbai. Mode: Remote. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"Data Science Internship at Freshworks in Pune. Mode: Hybrid. Duration 6 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,234
"QA Testing Internship at Accenture in Bengaluru. Mode: Remote. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,0,1,0,103
"QA Testing Internship at HCLTech in Noida. Mode: Remote. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,231
"Embedded Systems Internship at Wipro in Bengaluru. Mode: Remote. Duration 3 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"Embedded Systems Internship at Flipkart in Hyderabad. Mode: Remote. Duration 6 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"Digital Marketing Internship at Tech Mahindra in Bengaluru. Mode: Hybrid. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,248
"Mobile App Development Internship at TCS in Noida. Mode: Hybrid. Duration 4 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,239
"DevOps Internship at Amazon India in Delhi. Mode: Remote. Duration 3 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,232
"Data Science Internship at HCLTech in Gurugram. Mode: Remote. Duration 2 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,235
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,1,1,0,1,1,1,101
Urgent hiring for interns. Guaranteed income of ₹5000/day. Limited seats. Instant selection after payment.,0,1,1,0,1,0,1,106
"UI/UX Design Internship at Deloitte India in Pune. Mode: Remote. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"Software Development Internship at Accenture in Noida. Mode: On-site. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
Work from home internship. Earn ₹5000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,0,0,0,0,1,104
"Data Science Internship at Infosys in Hyderabad. Mode: Remote. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"Embedded Systems Internship at Deloitte India in Pune. Mode: Hybrid. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"Backend Development Internship at Myntra in Gurugram. Mode: On-site. Duration 6 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"Full Stack Development Internship at Razorpay in Delhi. Mode: On-site. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,244
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,0,1,0,1,0,1,103
"Cloud Computing Internship at Naukri in Delhi. Mode: On-site. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Machine Learning Internship at Microsoft India in Bengaluru. Mode: On-site. Duration 3 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,250
"Frontend Development Internship at Nykaa in Hyderabad. Mode: Remote. Duration 4 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
"Data Science Internship at Freshworks in Gurugram. Mode: On-site. Duration 4 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,239
Work from home internship. Earn ₹1000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,1,0,0,1,1,104
"DevOps Internship at Flipkart in Hyderabad. Mode: On-site. Duration 4 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,232
"Frontend Development Internship at L&T in Noida. Mode: Hybrid. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"Cloud Computing Internship at CRED in Chennai. Mode: Remote. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,235
"Cloud Computing Internship at Freshworks in Mumbai. Mode: On-site. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
"UI/UX Design Internship at Google India in Hyderabad. Mode: On-site. Duration 4 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
Work from home internship. Earn ₹5000 daily. No interview. Apply on WhatsApp. Registration fee required.,0,1,0,0,1,1,1,104
"Machine Learning Internship at TCS in Noida. Mode: Remote. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,233
"Embedded Systems Internship at HCLTech in Gurugram. Mode: Hybrid. Duration 3 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"Mobile App Development Internship at Deloitte India in Bengaluru. Mode: On-site. Duration 4 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,255
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,0,1,0,0,1,1,103
"QA Testing Internship at Infosys in Mumbai. Mode: Remote. Duration 4 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,232
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,0,1,1,103
"Data Science Internship at Paytm in Noida. Mode: Hybrid. Duration 3 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,231
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,0,0,1,103
"Frontend Development Internship at L&T in Pune. Mode: Remote. Duration 3 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Digital Marketing Internship at HCLTech in Bengaluru. Mode: Remote. Duration 4 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,242
"DevOps Internship at Google India in Chennai. Mode: On-site. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,234
Urgent hiring for interns. Guaranteed income of ₹5000/day. Limited seats. Instant selection after payment.,0,1,1,0,1,1,0,106
"Cloud Computing Internship at TCS in Hyderabad. Mode: On-site. Duration 6 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,0,0,1,1,1,103
"Full Stack Development Internship at Zoho in Mumbai. Mode: Remote. Duration 2 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,241
"Backend Development Internship at Naukri in Pune. Mode: On-site. Duration 2 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"Software Development Internship at Flipkart in Gurugram. Mode: Remote. Duration 2 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,245
"Cloud Computing Internship at Naukri in Delhi. Mode: On-site. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Full Stack Development Internship at HCLTech in Noida. Mode: Hybrid. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
"UI/UX Design Internship at Zoho in Delhi. Mode: Remote. Duration 6 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,230
"Frontend Development Internship at L&T in Chennai. Mode: Hybrid. Duration 6 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,239
"Cloud Computing Internship at Wipro in Pune. Mode: Hybrid. Duration 6 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,233
Urgent hiring for interns. Guaranteed income of ₹2000/day. Limited seats. Instant selection after payment.,0,1,1,0,1,1,1,106
"Cybersecurity Internship at Freshworks in Hyderabad. Mode: On-site. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,241
Online internship for students. Pay security deposit and start earning immediately. WhatsApp to join.,0,0,1,0,0,0,1,101
"DevOps Internship at Tech Mahindra in Bengaluru. Mode: Hybrid. Duration 4 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Backend Development Internship at Nykaa in Noida. Mode: Hybrid. Duration 3 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,238
Part-time internship. No skills needed. Earn money daily. Fast-track joining after registration charge.,0,1,1,0,1,1,0,103
"Data Science Internship at Razorpay in Gurugram. Mode: Hybrid. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"QA Testing Internship at TCS in Pune. Mode: On-site. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,227
"Cloud Computing Internship at Razorpay in Gurugram. Mode: Remote. Duration 3 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,240
"Digital Marketing Internship at Razorpay in Bengaluru. Mode: Hybrid. Duration 2 months. Stipend ₹25000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,243
"Software Development Internship at Paytm in Hyderabad. Mode: Remote. Duration 4 months. Stipend ₹15000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
"UI/UX Design Internship at Tech Mahindra in Chennai. Mode: Hybrid. Duration 2 months. Stipend ₹5000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,240
"Business Analytics Internship at Zoho in Pune. Mode: On-site. Duration 3 months. Stipend ₹8000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,235
"Cloud Computing Internship at Infosys in Noida. Mode: On-site. Duration 3 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,237
"Data Science Internship at Zoho in Gurugram. Mode: Remote. Duration 6 months. Stipend ₹10000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,233
"QA Testing Internship at Freshworks in Chennai. Mode: Hybrid. Duration 6 months. Stipend ₹12000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,236
"Data Science Internship at Infosys in Chennai. Mode: Hybrid. Duration 2 months. Stipend ₹30000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,1,0,235
"Frontend Development Internship at Naukri in Gurugram. Mode: Remote. Duration 3 months. Stipend ₹20000/month. Selected interns will work on live projects, receive mentorship, certificate, and PPO opportunity. Apply via official careers portal.",1,0,0,1,1,0,0,243
